SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;County;Comments;Precipitation.start;Precipitation.end;Tmax.start;Tmax.end;Tmin.start;Tmin.end;nome_rete;annoInizio;annoFine;tipo
15;Cortona;TOS01000751;OD:TOS01000751;43,268995;11,996448;485;Italy;Toscana;Quota ricavata da dem;1991;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
25;Vallombrosa;TOS01000901;OD:TOS01000901;43,731367;11,556821;1050;Italy;Toscana;Quota ricavata da dem;1993;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
39;Consuma;TOS01001041;OD:TOS01001041;43,784466;11,585201;908;Italy;Toscana;Quota ricavata da dem;1940;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
55;Prato Universita';TOS01001205;OD:TOS01001205;43,885556;11,099213;64;Italy;Toscana;Quota ricavata da dem;2000;2015;1998;2015;1998;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
72;S. Miniato (Cimitero);TOS01001491;OD:TOS01001491;43,684031;10,831479;42;Italy;Toscana;Quota ricavata da dem;2000;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
76;Castelmartini;TOS01001629;OD:TOS01001629;43,817839;10,829129;22;Italy;Toscana;Quota ricavata da dem;2000;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
78;Volterra;TOS01001664;OD:TOS01001664;43,408995;10,862233;372;Italy;Toscana;Quota ricavata da dem;1996;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;1961;2019;site2
232;Lucca;TOS02000512;OD:TOS02000512;43,842185;10,512700;17;Italy;Toscana;Quota ricavata da dem;NA;NA;1953;2015;1953;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
349;Pontremoli depuratore;TOS09001080;OD:TOS09001080;44,369246;9,883168;290;Italy;Toscana;Quota ricavata da dem;2007;2015;2013;2015;2013;2015;NESSUNA INFORMAZIONE RETE;1970;2020;site2
464;Lucca (Orto Botanico);TOS10000511;OD:TOS10000511;43,841806;10,510888;17;Italy;Toscana;Quota ricavata da dem;1977;2015;1990;2015;1990;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site1
10;La Verna;TOS01000639;OD:TOS01000639;43,706911;11,931335;1053;Italy;Toscana;Quota ricavata da dem;1978;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
23;Pian di Sco';TOS01000881;OD:TOS01000881;43,649965;11,555150;470;Italy;Toscana;Quota ricavata da dem;1991;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
27;Monte di Fo';TOS01000916;OD:TOS01000916;44,079632;11,280845;792;Italy;Toscana;Quota ricavata da dem;1991;2015;1992;2015;1992;2015;NESSUNA INFORMAZIONE RETE;1992;2020;sito3
28;Mangona;TOS01000921;OD:TOS01000921;44,051395;11,197975;552;Italy;Toscana;Quota ricavata da dem;1992;2015;1992;2015;1992;2015;NESSUNA INFORMAZIONE RETE;1992;2020;sito3
30;Le Croci (Barberino);TOS01000926;OD:TOS01000926;44,009686;11,271917;387;Italy;Toscana;Quota ricavata da dem;1993;2015;1951;2015;1951;2015;NESSUNA INFORMAZIONE RETE;1992;2020;sito3
37;Villore;TOS01001011;OD:TOS01001011;43,966733;11,546251;513;Italy;Toscana;Quota ricavata da dem;1991;2015;1951;2015;1951;2015;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
57;S. Giusto;TOS01001215;OD:TOS01001215;43,759952;11,193765;39;Italy;Toscana;Quota ricavata da dem;1992;2015;1992;2015;1992;2015;NESSUNA INFORMAZIONE RETE;1993;2020;sito3
58;Case Passerini;TOS01001225;OD:TOS01001225;43,814406;11,177460;35;Italy;Toscana;Quota ricavata da dem;1992;2015;1992;2015;1992;2015;NESSUNA INFORMAZIONE RETE;1993;2020;sito3
204;Vallelunga;TOS02000108;OD:TOS02000108;43,971328;10,337689;688;Italy;Toscana;Quota ricavata da dem;1999;2015;1999;2015;1999;2015;NESSUNA INFORMAZIONE RETE;2000;2020;sito3
238;Seravezza 2;TOS02004029;OD:TOS02004029;43,992815;10,223503;127;Italy;Toscana;Quota ricavata da dem;NA;NA;1998;2015;1998;2015;NESSUNA INFORMAZIONE RETE;1999;2020;sito3
239;Ponte Tavole;TOS02004045;OD:TOS02004045;43,972565;10,184830;7;Italy;Toscana;Quota ricavata da dem;NA;NA;1998;2015;1998;2015;NESSUNA INFORMAZIONE RETE;1999;2020;sito3
